filename,Red_Mean,Red_Median,Red_Std,Red_Skewness,Red_Kurtosis,Green_Mean,Green_Median,Green_Std,Green_Skewness,Green_Kurtosis,Blue_Mean,Blue_Median,Blue_Std,Blue_Skewness,Blue_Kurtosis,Hue_Mean,Hue_Median,Hue_Std,Hue_Skewness,Hue_Kurtosis,Sat_Mean,Sat_Median,Sat_Std,Sat_Skewness,Sat_Kurtosis,Value_Mean,Value_Median,Value_Std,Value_Skewness,Value_Kurtosis,Entropy,Contrast,Correlation,Energy,Homogeneity,Brightness_Mean,Brightness_Std,EdgeAmountSobel
string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float
00000001.jpg,15.005977,16.000000,2.963966,-4.221960,21.032968,19.937070,21.000000,3.325290,-4.447195,22.905038,13.612018,14.000000,2.910869,-3.437593,16.446470,0.298784,0.305556,0.018096,1.951529,8.532502,0.339899,0.333333,0.128113,4.455927,22.997428,0.078185,0.082353,0.013040,-4.447195,22.905038,2.092551,0.025746,0.946277,0.495925,0.987127,17.958086,3.196943,0.010794
00000002.jpg,14.961849,16.000000,2.952764,-4.252175,21.195064,19.893529,21.000000,3.309301,-4.471173,23.040081,13.436081,14.000000,2.871711,-3.461231,16.644335,0.296131,0.285714,0.017998,2.315308,9.464702,0.347004,0.333333,0.127389,4.457067,22.981442,0.078014,0.082353,0.012978,-4.471173,23.040081,2.035700,0.026421,0.945474,0.489973,0.986790,17.915794,3.181012,0.010820
00000003.jpg,14.950182,16.000000,2.950614,-4.250903,21.188839,19.881862,21.000000,3.307142,-4.470344,23.036607,13.393281,14.000000,2.860834,-3.463397,16.683490,0.295491,0.285714,0.017861,2.402673,9.843856,0.348649,0.333333,0.126971,4.465840,23.051317,0.077968,0.082353,0.012969,-4.470344,23.036607,2.035230,0.026316,0.945883,0.488345,0.986842,17.904128,3.178847,0.010820
00000004.jpg,14.946849,16.000000,2.951120,-4.245436,21.155139,19.878529,21.000000,3.307525,-4.465830,23.007942,13.371484,14.000000,2.856288,-3.462570,16.678656,0.295088,0.285714,0.017613,2.455617,10.172395,0.349531,0.333333,0.126752,4.470334,23.084568,0.077955,0.082353,0.012971,-4.465830,23.007942,2.039642,0.026316,0.945883,0.488345,0.986842,17.900794,3.179269,0.010820
00000005.jpg,14.932474,16.000000,2.951991,-4.245620,21.133641,19.863945,21.000000,3.306957,-4.466210,22.993839,13.307826,14.000000,2.834396,-3.493228,16.882048,0.294102,0.285714,0.017362,2.714215,11.066522,0.352104,0.333333,0.125970,4.500450,23.290357,0.077898,0.082353,0.012968,-4.466210,22.993839,2.024412,0.026932,0.944741,0.486671,0.986534,17.887461,3.179021,0.011029
00000006.jpg,14.932474,16.000000,2.951991,-4.245620,21.133641,19.863945,21.000000,3.306957,-4.466210,22.993839,13.307826,14.000000,2.834396,-3.493228,16.882048,0.294102,0.285714,0.017362,2.714215,11.066522,0.352104,0.333333,0.125970,4.500450,23.290357,0.077898,0.082353,0.012968,-4.466210,22.993839,2.024412,0.026932,0.944741,0.486671,0.986534,17.887461,3.179021,0.011029
00000007.jpg,51.969779,30.000000,51.005332,1.956204,5.837856,55.215599,33.000000,50.989924,1.955491,5.827182,48.277917,26.000000,50.900794,1.966537,5.850220,0.245254,0.238095,0.023000,2.495463,8.881529,0.214877,0.212121,0.163996,3.113484,15.753317,0.216532,0.129412,0.199960,1.955491,5.827182,6.384587,0.447597,0.879749,0.426426,0.883467,53.201549,50.975404,0.059036
00000008.jpg,56.610990,34.000000,52.923021,1.828547,5.289782,59.847240,37.000000,52.928815,1.827001,5.277254,52.907096,30.000000,52.835346,1.837809,5.297289,0.244969,0.238095,0.022666,2.547880,9.234366,0.197333,0.189189,0.159476,3.418880,17.826423,0.234695,0.145098,0.207564,1.827001,5.277254,6.541693,0.503764,0.876765,0.404904,0.875894,57.833542,52.911053,0.061497
00000009.jpg,58.861745,35.000000,53.472347,1.779487,5.101691,62.104219,39.000000,53.482837,1.778057,5.088953,55.157148,32.000000,53.391310,1.788459,5.107247,0.244960,0.238095,0.022650,2.546670,9.225326,0.188566,0.179487,0.157278,3.639570,19.342268,0.243546,0.152941,0.209737,1.778057,5.088953,6.571540,0.496228,0.882860,0.394584,0.874351,60.087201,53.465476,0.062409
