filename,avg_length_over_size,avg_turns_over_size,avg_straightness,avg_angle,Color1_R,Color1_G,Color1_B,Color1_H,Color1_S,Color1_V,Color1_Percentage,Color2_R,Color2_G,Color2_B,Color2_H,Color2_S,Color2_V,Color2_Percentage,Color3_R,Color3_G,Color3_B,Color3_H,Color3_S,Color3_V,Color3_Percentage,Color4_R,Color4_G,Color4_B,Color4_H,Color4_S,Color4_V,Color4_Percentage,Color5_R,Color5_G,Color5_B,Color5_H,Color5_S,Color5_V,Color5_Percentage,Color6_R,Color6_G,Color6_B,Color6_H,Color6_S,Color6_V,Color6_Percentage,Color7_R,Color7_G,Color7_B,Color7_H,Color7_S,Color7_V,Color7_Percentage,Color8_R,Color8_G,Color8_B,Color8_H,Color8_S,Color8_V,Color8_Percentage,Red_Mean,Red_Median,Red_Std,Red_Skewness,Red_Kurtosis,Green_Mean,Green_Median,Green_Std,Green_Skewness,Green_Kurtosis,Blue_Mean,Blue_Median,Blue_Std,Blue_Skewness,Blue_Kurtosis,Hue_Mean,Hue_Median,Hue_Std,Hue_Skewness,Hue_Kurtosis,Sat_Mean,Sat_Median,Sat_Std,Sat_Skewness,Sat_Kurtosis,Value_Mean,Value_Median,Value_Std,Value_Skewness,Value_Kurtosis,Entropy,Contrast,Correlation,Energy,Homogeneity,Brightness_Mean,Brightness_Std,EdgeAmountSobel
string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float
1905.5_a_mondrian.jpg,5.799383211557289E-5,1.966106442577031E-5,0.6718732949307088,62.226647673076556,96.00,95.00,67.00,0.1609,0.3021,0.3765,9.08,196.00,188.00,135.00,0.1448,0.3112,0.7686,8.86,79.00,79.00,56.00,0.1667,0.2911,0.3098,7.83,110.00,111.00,80.00,0.1720,0.2793,0.4353,7.74,29.00,31.00,21.00,0.2000,0.3226,0.1216,7.17,63.00,63.00,44.00,0.1667,0.3016,0.2471,6.70,14.00,15.00,10.00,0.2000,0.3333,0.0588,6.58,216.00,207.00,145.00,0.1455,0.3287,0.8471,6.47,121.805618,116.000000,66.944027,0.027949,1.784628,118.930610,115.000000,63.415609,0.029572,1.834032,87.377918,82.000000,50.759609,0.265653,2.144158,0.177617,0.154167,0.089439,4.191280,26.852796,0.311812,0.295918,0.143338,1.657313,8.332300,0.483635,0.462745,0.258439,0.028182,1.792232,7.794545,0.711134,0.885649,0.063048,0.774168,116.196099,62.801499,0.045112
1905.5_b_mondrian.jpg,8.179264854161737E-5,2.3711911357340723E-5,0.7476000845746357,45.51611171393112,214.00,192.00,158.00,0.1012,0.2617,0.8392,12.29,231.00,215.00,184.00,0.1099,0.2035,0.9059,12.22,225.00,205.00,168.00,0.1082,0.2533,0.8824,10.61,25.00,29.00,32.00,0.5714,0.2188,0.1255,8.49,39.00,39.00,39.00,0.0000,0.0000,0.1529,8.47,201.00,181.00,153.00,0.0972,0.2388,0.7882,7.60,16.00,17.00,23.00,0.6429,0.3043,0.0902,7.35,98.00,95.00,93.00,0.0667,0.0510,0.3843,5.62,139.021267,159.000000,82.100921,-0.264791,1.407510,129.210906,149.000000,72.718370,-0.273172,1.468706,112.621928,131.000000,57.993579,-0.315618,1.549302,0.265509,0.113333,0.251149,1.101530,2.745310,0.204249,0.217391,0.097608,0.156485,3.700542,0.553131,0.623529,0.312603,-0.248862,1.395826,7.489849,0.181255,0.978282,0.144982,0.912400,130.249647,73.734342,0.024511
1905.5_c_mondrian.jpg,9.221500116942079E-5,2.5801939217414632E-5,0.7302448757114037,36.16714892800414,14.00,11.00,14.00,0.8333,0.2143,0.0549,21.61,22.00,19.00,21.00,0.8889,0.1364,0.0863,15.74,32.00,28.00,30.00,0.9167,0.1250,0.1255,12.66,45.00,34.00,36.00,0.9697,0.2444,0.1765,8.49,51.00,44.00,42.00,0.0370,0.1765,0.2000,7.85,71.00,55.00,52.00,0.0263,0.2676,0.2784,6.53,55.00,50.00,52.00,0.9333,0.0909,0.2157,5.68,82.00,70.00,64.00,0.0556,0.2195,0.3216,5.62,58.010101,39.000000,56.063416,1.814580,5.527534,51.764697,33.000000,55.194012,2.037155,6.350851,47.228103,34.000000,41.997852,1.947792,6.379209,0.523127,0.700000,0.385290,-0.209136,1.237629,0.220901,0.208333,0.111858,0.951165,5.374854,0.230478,0.156863,0.219561,1.834650,5.594773,6.827787,0.272879,0.942691,0.191250,0.874727,53.114159,53.797247,0.036195
1905.5_d_mondrian.jpg,6.643514005056409E-5,2.2279398762157386E-5,0.6131441318517934,53.12674836199359,17.00,17.00,12.00,0.1667,0.2941,0.0667,17.96,41.00,37.00,26.00,0.1222,0.3659,0.1608,17.33,26.00,27.00,19.00,0.1875,0.2963,0.1059,10.20,68.00,53.00,36.00,0.0885,0.4706,0.2667,7.37,195.00,167.00,133.00,0.0914,0.3179,0.7647,6.96,191.00,169.00,167.00,0.0139,0.1257,0.7490,6.26,93.00,73.00,50.00,0.0891,0.4624,0.3647,4.94,217.00,193.00,145.00,0.1111,0.3318,0.8510,4.32,98.647584,69.000000,76.210613,0.448814,1.637826,85.547888,56.000000,66.447321,0.595136,1.866983,73.285193,39.000000,61.854563,0.502732,1.606516,0.239566,0.120690,0.275317,1.710175,4.405253,0.340614,0.312500,0.172841,0.913081,4.063190,0.393369,0.270588,0.298630,0.420713,1.586985,7.464118,0.297459,0.958517,0.135638,0.860079,88.071073,68.425180,0.029788
1905.5_e_mondrian.jpg,5.4130365948198134E-5,1.804364837840188E-5,0.6250775028390463,66.15933660381882,47.00,55.00,49.00,0.3750,0.1455,0.2157,12.34,65.00,72.00,59.00,0.2564,0.1806,0.2824,12.15,118.00,150.00,213.00,0.6105,0.4460,0.8353,12.09,29.00,31.00,22.00,0.2037,0.2903,0.1216,10.99,42.00,46.00,32.00,0.2143,0.3043,0.1804,8.28,236.00,237.00,237.00,0.5000,0.0042,0.9294,6.77,133.00,165.00,226.00,0.6093,0.4115,0.8863,5.98,64.00,78.00,82.00,0.5370,0.2195,0.3216,5.48,88.772164,70.000000,58.876830,1.053713,3.479813,100.197032,80.000000,62.566634,0.657990,2.406509,106.757206,71.000000,81.861742,0.546801,1.659050,0.378976,0.350000,0.188440,0.098441,1.525002,0.282747,0.266667,0.155635,0.641552,4.366469,0.452006,0.321569,0.306736,0.496453,1.617754,7.494958,0.269608,0.956336,0.131503,0.886290,97.519364,62.812974,0.029644
1905.5_f_mondrian.jpg,5.302559880555431E-5,1.758201874343785E-5,0.6972905969951853,69.91685753595662,73.00,71.00,49.00,0.1528,0.3288,0.2863,15.05,90.00,88.00,61.00,0.1552,0.3222,0.3529,11.31,57.00,56.00,40.00,0.1569,0.2982,0.2235,9.55,217.00,215.00,212.00,0.1000,0.0230,0.8510,8.04,201.00,199.00,203.00,0.7500,0.0197,0.7961,5.74,109.00,107.00,100.00,0.1296,0.0826,0.4275,5.67,225.00,224.00,230.00,0.6944,0.0261,0.9020,5.65,40.00,40.00,31.00,0.1667,0.2250,0.1569,5.02,122.389953,109.000000,63.094482,0.242391,1.805196,120.495707,106.000000,62.684882,0.275872,1.798218,107.002196,86.000000,69.444952,0.458746,1.773196,0.261590,0.161458,0.230484,1.539507,4.057142,0.205573,0.160839,0.162446,0.600054,2.465808,0.487213,0.431373,0.250542,0.266705,1.808866,7.721124,0.471344,0.923650,0.098052,0.818283,119.522692,63.389343,0.043222
1905.5_g_mondrian.jpg,7.955735396397941E-5,2.7799172728569392E-5,0.6315484939792405,59.84250304974209,241.00,232.00,183.00,0.1408,0.2407,0.9451,10.27,156.00,130.00,57.00,0.1229,0.6346,0.6118,9.83,228.00,216.00,177.00,0.1275,0.2237,0.8941,8.73,115.00,98.00,56.00,0.1186,0.5130,0.4510,8.51,83.00,66.00,38.00,0.1037,0.5422,0.3255,8.41,57.00,47.00,28.00,0.1092,0.5088,0.2235,8.29,186.00,163.00,103.00,0.1205,0.4462,0.7294,6.49,108.00,78.00,40.00,0.0931,0.6296,0.4235,6.30,154.144295,152.000000,63.102717,-0.193758,2.004825,135.080735,126.000000,63.338287,0.097519,1.861427,88.982153,67.000000,56.879835,0.579457,1.915364,0.120404,0.120833,0.041339,11.869901,226.191014,0.460467,0.466165,0.169656,0.028213,2.088575,0.604824,0.596078,0.247055,-0.190418,1.999391,7.714690,0.235623,0.960288,0.117455,0.887058,135.531889,61.979320,0.033647
1905.5_h_mondrian.jpg,5.900561082008271E-5,1.9794761004590873E-5,0.6604687932102631,65.54086502457857,243.00,243.00,235.00,0.1667,0.0329,0.9529,20.27,202.00,196.00,185.00,0.1078,0.0842,0.7922,7.97,68.00,60.00,41.00,0.1173,0.3971,0.2667,7.30,31.00,31.00,21.00,0.1667,0.3226,0.1216,7.02,193.00,184.00,162.00,0.1183,0.1606,0.7569,6.85,14.00,15.00,11.00,0.2083,0.2667,0.0588,6.28,44.00,48.00,33.00,0.2111,0.3125,0.1882,6.26,85.00,79.00,55.00,0.1333,0.3529,0.3333,5.93,142.995501,151.000000,78.119645,-0.179995,1.663976,138.052967,139.000000,77.665451,-0.034019,1.648009,121.187599,111.000000,80.036332,0.170014,1.576971,0.160930,0.133333,0.111980,3.966587,23.823571,0.230438,0.192090,0.182226,0.828692,3.264643,0.565249,0.592157,0.302297,-0.161345,1.663380,7.773606,0.239638,0.975692,0.094309,0.887976,137.614261,77.865921,0.036694
1905.5_i_mondrian.jpg,6.002665305950639E-5,2.024022750125691E-5,0.6023954556923575,61.694819852707134,15.00,17.00,18.00,0.5556,0.1667,0.0706,13.35,63.00,64.00,45.00,0.1754,0.2969,0.2510,11.39,25.00,30.00,26.00,0.3667,0.1667,0.1176,11.32,38.00,40.00,33.00,0.2143,0.1750,0.1569,11.08,239.00,238.00,233.00,0.1389,0.0251,0.9373,11.05,47.00,54.00,40.00,0.2500,0.2593,0.2118,8.94,224.00,223.00,214.00,0.1500,0.0446,0.8784,5.69,78.00,72.00,45.00,0.1364,0.4231,0.3059,5.17,89.623159,63.000000,75.657494,1.028546,2.650122,89.448744,63.000000,73.799714,1.104210,2.801563,76.166553,44.000000,73.217373,1.396328,3.318010,0.262007,0.195652,0.182430,1.227593,3.880666,0.237964,0.224806,0.155462,0.467914,2.638180,0.364236,0.262745,0.291742,1.035931,2.666166,7.312941,0.233848,0.972784,0.153739,0.889871,87.989072,74.034936,0.034361
